部分,考试类型,问题类型,问答对,三元组
高考学考,秋考,报名篇,问：20XX年高考大报名时间？答：考生信息采集时间一般是在每年的10月份，报名详细信息以每年上海招考热线发布的公告为准。注：2024年高考大报名信息采集时间是在2023年10月16日至19日，每天的8点-21点。10月20日的8点-16点。,"['（高考学考，包含，秋考）', '（秋考，相关文档，报名篇）', '（20XX年高考大报名时间，对应时间，考生信息采集时间）', '（考生信息采集时间，时间，每年10月份）', '（上海招考热线，发布，公告）', '（2024年高考大报名信息采集时间，属于，考生信息采集时间）', '（2024年高考大报名信息采集时间，具体时间，2023年10月16日至19日）', '（2023年10月16日至19日，每日时段，每天的8点-21点）', '（2024年高考大报名信息采集时间，补充时间，10月20日的8点-16点）']"
高考学考,秋考,报名篇,问：考生今年高三怎么报名参加20XX年高考？答：本市学籍应届高中阶段毕业生〔高中、中等职业技术学校（含中专、职校和技校）〕由学籍所在学校集中组织网上报名（所有应届生都应完成报名信息采集）。请考生/家长主动联系学校。,"['（应届高中阶段毕业生，属于，高中）', '（应届高中阶段毕业生，属于，中等职业技术学校）', '（中等职业技术学校，包括，中专）', '（中等职业技术学校，包括，职校）', '（中等职业技术学校，包括，技校）', '（学籍所在学校，组织，网上报名）', '（网上报名，属于，报名信息采集）', '（考生/家长，主动联系，学校）']"
高考学考,秋考,报名篇,"问：考生是复读生，怎么报名参加20XX年高考？（往届生、返沪生、社会生如何报名？）答：非本市应届高中阶段毕业生（往届生、非本市学籍应届生等）自主登录上海招考热线网站进行报名，按不同类别选择报考所在区：本市户籍外省市就读考生、本市户籍往届生选择户籍所在区；
	在职职工选择单位所在区；
	非本市户籍考生选择持有的《上海市居住证》所属区。","['（复读生，属于，往届生）', '（往届生，属于，非本市应届高中阶段毕业生）', '（非本市学籍应届生，属于，非本市应届高中阶段毕业生）', '（本市户籍往届生，属于，往届生）', '（非本市应届高中阶段毕业生，登录，上海招考热线网站）', '（非本市应届高中阶段毕业生，报名参加，20XX年高考）', '（本市户籍外省市就读考生，选择，户籍所在区）', '（本市户籍往届生，选择，户籍所在区）', '（在职职工，选择，单位所在区）', '（非本市户籍考生，选择，《上海市居住证》所属区）', '（在职职工，报名参加，20XX年高考）', '（非本市户籍考生，报名参加，20XX年高考）', '（本市户籍外省市就读考生，报名参加，20XX年高考）', '（本市户籍往届生，报名参加，20XX年高考）']"
高考学考,秋考,报名篇,问：秋考报名的网址是什么？答：凡符合上海市普通高校考试招生报名条件的考生须在规定时间里通过“上海招考热线”网站（www.shmeea.edu.cn）—首页—考试报名栏目进行网上报名，并根据报名网站的提示和要求如实填写本人报名信息。,[]
高考学考,秋考,报名篇,问：报名完成后如何确定报名是否成功？答：报名成功之后会获得流水号。,"['（高考学考，包含，秋考）', '（秋考，包含，报名篇）', '（报名篇，涉及，报名）', '（报名，获得，流水号）']"
高考学考,秋考,报名篇,问：报名时输入信息错误了怎么办？答：网上报名截止前，考生可多次登录系统修改本人报名信息，系统以最后一次填写信息为准。,"['（高考学考，包含，秋考）', '（秋考，包含，报名篇）', '（报名篇，处理，输入信息错误）', '（输入信息错误，涉及，报名信息）', '（考生，使用，系统）', '（系统，允许修改，报名信息）', '（报名信息，最后修改时间，网上报名截止前）', '（系统，以最后一次为准，最后一次填写信息）', '（最后一次填写信息，确定，报名信息）']"
高考学考,秋考,报名篇,问：网上报名时间过了后，才发现报考填写的信息错误了怎么办？答：请于报考确认的时候提出修改。在校生联系学校老师，往届生、社会生等联系区招考机构。,"['（在校生，联系，学校老师）', '（往届生，联系，区招考机构）', '（社会生，联系，区招考机构）', '（报考填写的信息错误，处理于，报考确认）', '（高考学考，包含，秋考）', '（秋考，包含，报名篇）']"
高考学考,秋考,报名篇,问：考生报名成功后，但是家里突然搬家了怎么办？（报名成功后考生的政治面貌、户籍类别、户籍地址、通讯地址等基本信息发生变化怎么办？）答：报名后考生基本信息发生变化需要更正的（如政治面貌、户籍类别、户籍地址、通讯地址等），应及时向学籍所在学校或报名所在区考试招生机构提出书面申请并附相关证明材料。,"['（考生，参与，报名）', '（基本信息，包含，政治面貌）', '（基本信息，包含，户籍类别）', '（基本信息，包含，户籍地址）', '（基本信息，包含，通讯地址）', '（考生，需要更正，基本信息）', '（考生，提交申请，书面申请）', '（书面申请，需附，相关证明材料）', '（学籍所在学校，处理，书面申请）', '（报名所在区考试招生机构，处理，书面申请）']"
高考学考,秋考,报名篇,问：考生基本信息修改安排在什么时间？答：如有信息变更请第一时间与学籍所在学校或区考试招生机构联系。一般有四次信息更正，具体时间段安排以各学校或区考试招生机构公布为准。以下是2024年高考信息修改时间：第一次2024年1月9日（春考后）；第二次2024年3月初（第一次补报名）；第三次2024年4月中上旬（第二次补报名）；第四次2024年6月10日（秋考后）。,"['（考生基本信息修改，安排次数，四次信息更正）', '（四次信息更正，时间规划方式，时间段安排）', '（信息变更，处理机构，学籍所在学校）', '（信息变更，处理机构，区考试招生机构）', '（2024年高考信息修改时间，包含时间节点，2024年1月9日）', '（2024年高考信息修改时间，包含时间节点，2024年3月初）', '（2024年高考信息修改时间，包含时间节点，2024年4月中上旬）', '（2024年高考信息修改时间，包含时间节点，2024年6月10日）', '（2024年1月9日，对应事件阶段，春考后）', '（2024年3月初，对应事件阶段，第一次补报名）', '（2024年4月中上旬，对应事件阶段，第二次补报名）', '（2024年6月10日，对应事件阶段，秋考后）']"
高考学考,秋考,报名篇,问：考生当年中招录取的是中高职贯通/五年一贯制/中本贯通需要报名高考吗？答：需要。中高职教育贯通培养模式试点（中高职贯通）、中等职业教育—应用本科专业贯通培养模式试点（中本贯通）、五年一贯制需办理转入高等学校手续的学生也须根据上海市教育考试院的具体安排办理报名手续。,"['（中高职贯通，需报名，高考）', '（中本贯通，需报名，高考）', '（五年一贯制，需报名，高考）', '（中高职贯通，需办理，报名手续）', '（中本贯通，需办理，报名手续）', '（五年一贯制，需办理，报名手续）', '（上海市教育考试院，安排，报名手续）']"
高考学考,秋考,报名篇,问：中本贯通需要参加高考吗？答：中本贯通转段需要参加三校生高考。,"['（高考学考，包含，秋考）', '（秋考，包含，报名篇）', '（中本贯通，需要参加，三校生高考）']"
高考学考,秋考,报名篇,问：中高职贯通、五年一贯制需要参加高考吗？答：中高职贯通转段、五年一贯制转入高等学校的考试由所在学校负责，仅进行高考报名。,"['（中高职贯通，需进行，高考报名）', '（五年一贯制，需进行，高考报名）', '（中高职贯通，负责机构，所在学校）', '（五年一贯制，负责机构，所在学校）']"
高考学考,秋考,报名篇,问：体育单招、保送生、英才班需要报名吗？答：保送生（含外语及竞赛保送生、六部委保送录取优秀运动员）、运动训练、武术与民族传统体育专业考生、高水平运动队、西藏高中班、新疆高中班、新疆中职班、西藏中职班学生、英才班等拔尖创新人才选拔录取的考生，也必须办理报名手续取得报名号。,"['（保送生，包含，外语及竞赛保送生）', '（保送生，包含，六部委保送录取优秀运动员）', '（运动训练，属于，拔尖创新人才选拔录取的考生）', '（武术与民族传统体育专业考生，属于，拔尖创新人才选拔录取的考生）', '（高水平运动队，属于，拔尖创新人才选拔录取的考生）', '（西藏高中班，属于，拔尖创新人才选拔录取的考生）', '（新疆高中班，属于，拔尖创新人才选拔录取的考生）', '（新疆中职班，属于，拔尖创新人才选拔录取的考生）', '（西藏中职班学生，属于，拔尖创新人才选拔录取的考生）', '（英才班，属于，拔尖创新人才选拔录取的考生）', '（拔尖创新人才选拔录取的考生，必须办理，报名手续）', '（报名手续，取得，报名号）']"
高考学考,秋考,报名篇,问：体育单招、保送生、英才班报名怎么选择相关考试？答：个人信息如实填报，报考考试选择秋考。,[]
高考学考,秋考,报名篇,问：考生目前大一就读，是否可以参加2024年高考报名？（哪些人员不属于报名对象？）答：（1）具有普通高等学历教育资格的高校在校生，或已被普通高校录取并保留入学资格的学生（大学在籍）；（2）高中阶段学校非应届毕业的在校生（高一、高二年级。三校生一、二年级等）；（3）在高中阶段非应届毕业年份以弄虚作假手段报名并违规参加普通高校招生考试（包括全国统考、省级统考和高校单独组织的招生考试）的应届毕业生；（4）因违反国家教育考试规定，被给予暂停参加普通高校招生考试处理且在停考期内的人员；（5）因触犯刑法已被有关部门采取强制措施或正在服刑者，其中，未成年人按相关法律规定执行。,"['（考生，属于，普通高等学历教育资格的高校在校生）', '（普通高校，保留入学资格，大学在籍）', '（高一', '高二年级，属于，非应届毕业的在校生）', '（三校生一', '二年级，属于，非应届毕业的在校生）', '（弄虚作假手段，导致，违规参加）', '（普通高校招生考试，包含，全国统考）', '（普通高校招生考试，包含，省级统考）', '（普通高校招生考试，包含，高校单独组织的招生考试）', '（违反国家教育考试规定，导致，暂停参加普通高校招生考试）', '（触犯刑法，导致，强制措施）', '（触犯刑法，导致，服刑者）', '（未成年人，受约束于，相关法律规定）']"
高考学考,秋考,报名篇,问：考生是上海户口，参加高考有什么条件吗？（本市户籍考生参加高考报名需要哪些条件？）答：本市户籍人员具有本市常住户籍的高中阶段学校毕业生或具有同等学力者（含具有本市常住户籍的非本市高中阶段学校毕业生）。,"['（考生，属于，本市户籍考生）', '（上海户口，等同于，本市常住户籍）', '（本市户籍考生，需要满足，条件）', '（条件，包含，高中阶段学校毕业生）', '（条件，包含，同等学力者）', '（同等学力者，包含，非本市高中阶段学校毕业生）', '（高中阶段学校毕业生，需要，本市常住户籍）', '（同等学力者，需要，本市常住户籍）']"
高考学考,秋考,报名篇,问：考生不是上海户口，参加高考有什么条件吗？（非本市户籍考生参加高考报名需要哪些条件？）答：非本市户籍考生需要满足下列条件之一：（1）考生为积分达到标准分值的《上海市居住证》持证人的同住子女，且在本市参加中招或父母一方连续持有《上海市居住证》3年，同时须本市高中阶段学校毕业；（2）考生为《上海市海外人才居住证》留学人员持证人的同住子女，且须本市高中阶段学校毕业；（3）考生为持有效《具有本市户籍留学人员其持外国护照子女享受优惠政策证明》的留学人员其持外国护照子女，且考生须是参加本市中招并具有本市高中阶段完整学习经历的应届毕业生或2023年已列入本市高考报名库的往届毕业生；（4）考生父母双方或一方现属本市常住户籍，考生本人持《上海市居住证》，且考生须是参加本市中招并具有本市高中阶段完整学习经历的应届毕业生或2023年已列入本市高考报名库的往届毕业生；（5）考生父母双方或一方是经市政府合作交流办认定的驻沪机构工作人员，且考生须是参加本市中招并具有本市高中阶段完整学习经历的应届毕业生或2023年已列入本市高考报名库的往届毕业生；（6）考生为在沪定居并持有签发地为上海的《中华人民共和国外国人永久居留身份证》的外国人，且为高中阶段学校毕业生；（7）考生父母双方或一方是在沪博士后科研流动站（工作站）在站人员，且考生为高中阶段学校毕业生；（8）考生属在沪台胞，香港、澳门特别行政区永久居民身份，且为本市高中阶段学校毕业生；（9）考生为梅山、大屯、鲁矿三地上海后方基地单位职工子女，且纳入市教委锁定名单，须参加本市中招且本市高中阶段学校毕业。,"['（非本市户籍考生，需为，同住子女）', '（同住子女，关联，上海市居住证）', '（非本市户籍考生，需参加，中招）', '（非本市户籍考生，需满足，本市高中阶段学校毕业）', '（同住子女，关联，上海市海外人才居住证）', '（留学人员，持证，上海市海外人才居住证）', '（外国护照子女，持证，优惠政策证明）', '（外国护照子女，需满足，本市高中阶段学校毕业）', '（应届毕业生，属于，2023年高考报名库）', '（往届毕业生，属于，2023年高考报名库）', '（非本市户籍考生，父母为，常住户籍）', '（非本市户籍考生，持证，上海市居住证）', '（驻沪机构工作人员，被认定，市政府合作交流办）', '（非本市户籍考生，父母为，驻沪机构工作人员）', '（外国人，持证，中华人民共和国外国人永久居留身份证）', '（外国人，需满足，高中阶段学校毕业生）', '（在沪博士后科研流动站（工作站）在站人员，子女为，高中阶段学校毕业生）', '（在沪台胞，需满足，本市高中阶段学校毕业）', '（香港特别行政区永久居民身份，需满足，本市高中阶段学校毕业）', '（澳门特别行政区永久居民身份，需满足，本市高中阶段学校毕业）', '（梅山', '大屯', '鲁矿三地上海后方基地单位职工子女，需纳入，市教委锁定名单）', '（梅山', '大屯', '鲁矿三地上海后方基地单位职工子女，需满足，本市高中阶段学校毕业）']"
高考学考,秋考,报名篇,问：2024年在沪报考普通高校条件一览表（秋季统一高考）答：详见附件高考报名相关图表。,"['（2024年，时间限定，秋季统一高考）', '（在沪，地域属性，秋季统一高考）', '（普通高校，报考目标，秋季统一高考）']"
